어린이집명,어린이집등급,보육과정 및 상호작용,보육환경 및 운영관리,건강 및 안전,교직원,평가 인증 년월,우편번호,시군구명,어린이집코드,어린이집유형,상세주소,전화번호,시설 위도(좌표값),시설 경도(좌표값),제공서비스
경희궁솔빛어린이집,A,우수,우수,우수,우수,2023-08-01,3165,종로구,11110000174,국공립,서울특별시 종로구 송월길 99 210동 1층,02-732-8003,37.57091964,126.9622964,야간연장
경희궁자이어린이집,A,우수,우수,우수,우수,2023-07-01,3180,종로구,11110000172,국공립,서울특별시 종로구 경교장길 35 306동 데크층,02-720-1633,37.56893882,126.9668569,야간연장
교보생명다솜이어린이집,A,우수,우수,우수,우수,2023-08-01,3176,종로구,11110000149,직장,서울특별시 종로구 신문로2가 경희궁1가길 3,02-722-2012,37.57206776,126.969373,일반
구기어린이집,A,우수,우수,우수,우수,2021-07-01,3012,종로구,11110000154,민간,서울특별시 종로구 진흥로22길 8-1 (구기동),02-391-7072,37.60668049,126.958301,야간연장
낙산어린이집,A,우수,우수,우수,우수,2022-06-01,3091,종로구,11110000015,국공립,서울특별시 종로구 창신길 210-11 낙산어린이집 (창신동),02-765-1268,37.57952972,127.0101667,"장애아통합,야간연장"
누상어린이집,A,우수,우수,우수,우수,2022-01-01,3037,종로구,11110000019,국공립,서울특별시 종로구 옥인길 23-4 (누상동),02-738-6711,37.5807924,126.9671958,야간연장
대학로어린이집,A,우수,우수,우수,우수,2019-11-01,3088,종로구,11110000143,국공립,서울특별시 종로구 이화장길 86-22,02-741-0323,37.57933439,127.0054732,야간연장
도담도담어린이집,C,개선필요,우수,우수,우수,2023-03-01,3110,종로구,11110000171,국공립,서울특별시 종로구 숭인동길 47,02-921-4500,37.57706482,127.0218624,야간연장
동화속아이들어린이집,A,우수,우수,우수,우수,2023-02-01,3025,종로구,11110000175,국공립,서울특별시 종로구 통일로 246-11 무악현대아파트 단지내,02-733-2440,37.5750956,126.9591246,야간연장
라이나생명 키즈나루 어린이집,A,우수,우수,우수,우수,2021-05-01,3156,종로구,11110000178,직장,서울특별시 종로구 삼봉로 48 시그나 빌딩 2층,02-3779-8170,37.57209526,126.9800091,일반
로카키즈어린이집,A,우수,우수,우수,우수,2022-08-01,3184,종로구,11110000180,직장,서울특별시 종로구 새문안로2길 10 1층,02-739-8042,37.56870364,126.971979,일반
명륜어린이집,A,우수,우수,우수,우수,2020-03-01,3065,종로구,11110000044,국공립,서울특별시 종로구 성균관로13길 66 (명륜1가),02-742-8436,37.59133111,126.9949822,"장애아통합,야간연장"
무궁화어린이집,A,우수,우수,우수,우수,2020-08-01,3047,종로구,11110000142,직장,서울특별시 종로구 자하문로28길 8 외 1 (궁정동),02-730-2486,37.58479164,126.9710612,야간연장
무악어린이집,A,우수,우수,우수,우수,2023-03-01,3024,종로구,11110000023,국공립,서울특별시 종로구 통일로18길 64 (무악동),02-736-8003,37.57607379,126.9603255,야간연장
미래나무어린이집,A,우수,우수,우수,우수,2023-08-01,3129,종로구,11110000148,직장,서울특별시 종로구 종로33길 15 (연지동),02-747-9557,37.57181311,127.0010009,일반
부암어린이집,A,우수,우수,우수,우수,2022-07-01,3019,종로구,11110000014,국공립,서울특별시 종로구 세검정로6다길 10-7,02-396-6226,37.60152236,126.9630733,"장애아통합,야간연장"
사직어린이집,A,우수,우수,우수,우수,2020-01-01,3039,종로구,11110000038,국공립,서울특별시 종로구 필운대로1길 16-8,02-720-0798,37.57809877,126.9686864,"장애아통합,야간연장"
삼양어린이집,A,우수,우수,우수,우수,2021-01-01,3129,종로구,11110000176,직장,서울특별시 종로구 종로33길 31,02-760-5081,37.57261232,127.0010958,일반
삼청어린이집,B,우수,보통,우수,우수,2022-07-01,3049,종로구,11110000011,국공립,서울특별시 종로구 삼청로7길 26 (팔판동),02-723-0155,37.58400574,126.9804875,야간연장
상록수어린이집,A,우수,우수,우수,우수,2020-01-01,3166,종로구,11110000030,국공립,서울특별시 종로구 송월1길 73-7 상록수어린이집,02-738-1773,37.57276199,126.9646048,야간연장
서울경찰청어린이집,A,우수,우수,우수,우수,2023-11-01,3169,종로구,11110000167,직장,서울특별시 종로구 사직로8길 31,02-720-8502,37.56647,126.977963,일반
서울대학교병원어린이집,A,우수,우수,우수,우수,2020-02-01,3085,종로구,11110000083,직장,서울특별시 종로구 동숭3길 40,02-2072-2260,37.57946548,126.9990227,일반
서울지방국세청 우리누리어린이집,A,우수,우수,우수,우수,2021-09-01,3151,종로구,11110000179,직장,서울특별시 종로구 종로5길 86,02-739-5100,37.57413147,126.9797709,일반
서울청사푸르미어린이집,A,우수,우수,우수,우수,2023-08-01,3171,종로구,11110000122,직장,서울특별시 종로구 세종로 세종대로 209 서울청사 푸르미어린이집,02-737-7327,37.57529731,126.9748321,야간연장
서울청사한빛어린이집,A,우수,우수,우수,우수,2022-07-01,3171,종로구,11110000079,직장,서울특별시 종로구 세종대로 209 서울청사관리소,02-735-6400,37.57499554,126.9751406,야간연장
선재어린이집,A,우수,우수,우수,우수,2020-07-01,3144,종로구,11110000177,국공립,서울특별시 종로구 우정국로 51-4,02-720-9770,37.57347189,126.9822501,야간연장
세종마을어린이집,A,우수,우수,우수,우수,2022-08-01,3034,종로구,11110000017,국공립,서울특별시 종로구 옥인길 89 (옥인동),02-732-3070,37.58195218,126.9639188,야간연장
숭인어린이집,A,우수,우수,우수,우수,2022-07-01,3108,종로구,11110000040,국공립,서울특별시 종로구 지봉로 86 (숭인동),02-743-7527,37.57781735,127.0156145,야간연장
아동회관어린이집,B,우수,보통,우수,우수,2022-06-01,3094,종로구,11110000013,국공립,서울특별시 종로구 지봉로13길 14 아동회관어린이집,02-763-6038,37.57830726,127.0118098,야간연장
아이누리 어린이집,A,우수,우수,우수,우수,2023-12-01,3174,종로구,11110000162,직장,서울특별시 종로구 사직로8길 20 파크팰리스 제1층 제101호,02-6959-7695,37.57393132,126.9705903,일반
아이소리어린이집,A,우수,우수,우수,우수,2023-01-01,3104,종로구,11110000151,가정,"서울특별시 종로구 지봉로5길 7 103-101(창신동,두산아파트)",02-3672-5011,37.57407935,127.0138333,일반
안동어린이집,A,우수,우수,우수,우수,2023-01-01,3055,종로구,11110000086,민간,서울특별시 종로구 북촌로7길 3-10,02-743-9307,37.5798836,126.9843648,일반
엄마품어린이집,A,우수,우수,우수,우수,2019-11-01,3010,종로구,11110000066,가정,"서울특별시 종로구 평창문화로 172 102동 106호(평창동, 삼성아파트)",02-379-1317,37.61035089,126.9744434,야간연장
엔젤키즈어린이집,A,우수,우수,우수,우수,2022-09-01,3021,종로구,11110000057,국공립,서울특별시 종로구 자하문로43길 4-13,02-379-5133,37.59853986,126.9605022,야간연장
연동어린이집,A,우수,우수,우수,우수,2022-01-01,3128,종로구,11110000184,국공립,서울특별시 종로구 대학로3길 9 연지동,02-3673-2866,37.57392372,127.0014065,야간연장
은행나무어린이집,A,우수,우수,우수,우수,2022-09-01,3091,종로구,11110000028,국공립,서울특별시 종로구 낙산5길 33 (창신동),02-744-5420,37.57895144,127.010942,"장애아통합,방과후 통합,야간연장"
인왕어린이집,A,우수,우수,우수,우수,2023-07-01,3024,종로구,11110000034,국공립,서울특별시 종로구 통일로18길 9 인왕산 아이파크단지내,02-738-8577,37.5770571,126.9573199,야간연장
조은어린이집,A,우수,우수,우수,우수,2020-01-01,3109,종로구,11110000018,국공립,서울특별시 종로구 지봉로12가길 35 (숭인동),02-763-7800,37.57564181,127.0169677,"장애아통합,야간연장"
종교교회어린이집,A,우수,우수,우수,우수,2022-01-01,3173,종로구,11110000058,민간,서울특별시 종로구 사직로8길 48 종교교회내 1층 (도렴동),02-6322-2190,37.57375117,126.973844,야간연장
종로구청직장어린이집,A,우수,우수,우수,우수,2022-05-01,3152,종로구,11110000039,직장,서울특별시 종로구 종로1길 36 대림빌딩,02-720-5852,37.57346463,126.9791484,야간연장
종로생명숲어린이집,A,우수,우수,우수,우수,2021-09-01,3009,종로구,11110000155,국공립,서울특별시 종로구 평창문화로 73-7 종로생명숲어린이집,02-359-1671,37.60646733,126.9681766,야간연장
창경어린이집,A,우수,우수,우수,우수,2022-04-01,3073,종로구,11110000159,국공립,서울특별시 종로구 성균관로1길 6-3,02-766-1514,37.58343865,126.997781,야간연장
창신어린이집,A,우수,우수,우수,우수,2020-01-01,3105,종로구,11110000012,사회복지법인,서울특별시 종로구 창신5길 22 (창신동),02-743-6302,37.57360468,127.0120168,야간연장
창신제일어린이집,B,보통,우수,우수,우수,2022-04-01,3089,종로구,11110000048,국공립,서울특별시 종로구 낙산성곽동길 69 창신동,02-3675-1084,37.57568463,127.0096935,"야간연장,휴일보육"
천사어린이집,A,우수,우수,우수,우수,2023-08-01,3092,종로구,11110000169,국공립,서울특별시 종로구 낙산길 198 205-101,02-3674-1004,37.58041801,127.0111853,야간연장
청운어린이집,B,우수,보통,우수,우수,2022-06-01,3031,종로구,11110000035,국공립,서울특별시 종로구 자하문로35길 21,02-730-9261,37.58408282,126.9705784,야간연장
청정원 종로 어린이집,A,우수,우수,우수,우수,2023-02-01,3130,종로구,11110000181,직장,서울특별시 종로구 창경궁로 120 종로플레이스 2층,02-2231-1896,37.5729619,126.9981888,일반
초동어린이집,A,우수,우수,우수,우수,2023-12-01,3139,종로구,11110000041,법인?단체등,서울특별시 종로구 돈화문로5가길 23 (돈의동),02-765-6205,37.57174148,126.9912585,장애아통합
한빛어린이집,A,우수,우수,우수,우수,2022-01-01,3112,종로구,11110000016,국공립,서울특별시 종로구 종로65길 10 (숭인동),02-763-6825,37.57485743,127.0199441,야간연장
한숲어린이집,A,우수,우수,우수,우수,2023-02-01,3181,종로구,11110000168,직장,서울특별시 종로구 통일로 134 디타워 돈의문 2층,02-735-1712,37.56686634,126.9662013,일반
현대다솜어린이집,A,우수,우수,우수,우수,2022-09-01,3058,종로구,11110000153,직장,서울특별시 종로구 창덕궁길 19 현대다솜어린이집,02-746-7601,37.57823398,126.988566,일반
현대해상 온마음어린이집,A,우수,우수,우수,우수,2023-07-01,3176,종로구,11110000158,직장,서울특별시 종로구 신문로2가 경희궁1길 9,02-725-5355,37.57113113,126.971008,일반
혜화어린이집,A,우수,우수,우수,우수,2023-03-01,3084,종로구,11110000033,국공립,서울특별시 종로구 대학로14길 34,02-742-2694,37.58477572,127.0025361,야간연장
CJ키즈빌 어린이집,A,우수,우수,우수,우수,2023-08-01,4560,중구,11140000085,직장,서울특별시 중구 동호로 330 (쌍림동),02-722-1070,37.56396399,127.0032756,일반
GKL행복어린이집,A,우수,우수,우수,우수,2019-01-01,4637,중구,11140000104,직장,서울특별시 중구 남대문로5가 한강대로 416 서울스퀘어 5층,02-6456-8816,37.55550489,126.9737528,일반
IBK 참! 좋은 어린이집,A,우수,우수,우수,우수,2019-01-01,4538,중구,11140000108,직장,서울특별시 중구 을지로2가 을지로 82,02-2031-3394,37.56570639,126.9870829,일반
LG서울역어린이집,A,우수,우수,우수,우수,2020-02-01,4637,중구,11140000109,직장,서울특별시 중구 남대문로5가 후암로 98 2층,02-3789-1002,37.55395946,126.9747968,일반
SKT행복날개어린이집,A,우수,우수,우수,우수,2021-07-01,4539,중구,11140000057,직장,서울특별시 중구 을지로2가 을지로 65 SK-T타워 3층,02-6100-0115,37.56647,126.9851118,일반
SK브로드밴드 행복한 어린이집,A,우수,우수,우수,우수,2021-07-01,4637,중구,11140000099,직장,서울특별시 중구 남대문로5가 퇴계로 24 SK남산그린빌딩 4층,02-6266-2300,37.556619,126.9759616,야간연장
가명어린이집,A,우수,우수,우수,우수,2020-01-01,4506,중구,11140000014,법인?단체등,서울특별시 중구 청파로 447-1,02-365-7021,37.5589741,126.9670146,장애아통합
경동어린이집,A,우수,우수,우수,우수,2022-01-01,4614,중구,11140000053,법인?단체등,서울특별시 중구 장충단로 204,02-2272-7158,37.56319426,127.0073109,일반
교원&하나투어 공동직장어린이집,B,우수,우수,보통,보통,2020-09-01,4539,중구,11140000113,직장,서울특별시 중구 을지로2가 을지로 55 교원명동빌딩 3층,02-779-6118,37.56647,126.977963,일반
꿈나무어린이집,A,우수,우수,우수,우수,2020-03-01,4572,중구,11140000092,가정,서울특별시 중구 청계천로 400 101동 709호,02-2231-3132,37.5708699,127.0200585,일반
남산숲어린이집,A,우수,우수,우수,우수,2022-08-01,4595,중구,11140000023,국공립,서울특별시 중구 동호로5길 193 남산숲어린이집 (신당동),02-2234-2753,37.54652787,127.0089375,"야간연장,휴일보육"
남산타운어린이집,D,우수,우수,우수,우수,2022-12-01,4595,중구,11140000079,국공립,서울특별시 중구 다산로 32 (신당동),02-2256-5114,37.54953333,127.0118978,야간연장
농협중앙회 별관 어린이집,A,우수,우수,우수,우수,2023-02-01,4516,중구,11140000118,직장,서울특별시 중구 새문안로 16 농협중앙회 별관 2층,02-2080-8135,37.56631941,126.9677211,일반
농협중앙회어린이집,A,우수,우수,우수,우수,2021-08-01,4516,중구,11140000087,직장,서울특별시 중구 새문안로 16,02-2080-4941,37.56646362,126.9677369,일반
늘푸른어린이집,A,우수,우수,우수,우수,2023-08-01,4500,중구,11140000110,국공립,서울특별시 중구 만리동2가 만리재로21길 9,02-2088-1318,37.55281706,126.9630706,일반
다산어린이집,B,우수,우수,우수,우수,2022-12-01,4604,중구,11140000005,국공립,서울특별시 중구 동호로15길 50 (신당동),02-2232-6905,37.55432868,127.0082457,"장애아통합,방과후 통합,야간연장"
다솜어린이집,A,우수,우수,우수,우수,2021-08-01,4593,중구,11140000028,국공립,"서울특별시 중구 동호로10길 30 103동 101호(신당동, 약수하이츠)",02-2236-9121,37.55472522,127.0146044,일반
단우물 어린이집,A,우수,우수,우수,우수,2022-07-01,4576,중구,11140000006,국공립,서울특별시 중구 다산로48길 33 단우물어린이집(황학동),02-2234-9125,37.56751684,127.0181216,"야간연장,휴일보육"
동화나라어린이집,A,우수,우수,우수,우수,2022-01-01,4584,중구,11140000025,국공립,서울특별시 중구 다산로38길 80 (신당동),02-2236-5156,37.56154523,127.0192628,"장애아통합,야간연장"
동화어린이집,A,우수,우수,우수,우수,2019-12-01,4587,중구,11140000091,국공립,서울특별시 중구 청구로 64 청구e편한세상아파트 106동 1층,02-2234-1226,37.56000212,127.0155196,야간연장
롯데mom편한어린이집,A,우수,우수,우수,우수,2023-12-01,4632,중구,11140000105,직장,"서울특별시 중구 회현동1가 소공로 35 남산롯데캐슬아이리스 210호, 211호",02-774-4498,37.55822381,126.9817467,일반
롯데캐슬어린이집,A,우수,우수,우수,우수,2023-01-01,4572,중구,11140000065,국공립,서울특별시 중구 청계천로 400 롯데캐슬베네치아아파트 103동7층관리동 (황학동),02-2048-5757,37.57089532,127.0213261,일반
리틀포도나무어린이집,A,우수,우수,우수,우수,2020-02-01,4582,중구,11140000086,민간,서울특별시 중구 퇴계로90길 74 래미안하이베르아파트 관리동1층,02-2233-3515,37.56161621,127.0226238,일반
마주어린이집,C,보통,우수,보통,개선필요,2023-04-01,4502,중구,11140000090,가정,서울특별시 중구 중림로 10 삼성사이버빌리지 112-102,02-6324-6325,37.55758284,126.9656042,야간연장
만리어린이집,A,우수,우수,우수,우수,2022-06-01,4500,중구,11140000020,국공립,서울특별시 중구 만리동2가 만리재로 175 (만리동2가),02-312-8718,37.55308038,126.9637947,야간연장
명동하나금융그룹직장어린이집,A,우수,우수,우수,우수,2020-02-01,4538,중구,11140000112,직장,서울특별시 중구 을지로2가 을지로 66 하나금융그룹 명동사옥 2층,02-319-9606,37.56555479,126.9851327,일반
무지개어린이집,A,우수,우수,우수,우수,2022-09-01,4588,중구,11140000094,가정,"서울특별시 중구 청구로1길 23 113동 103호(신당동,신당삼성아파트)",02-2252-4777,37.55856376,127.0184303,야간연장
미담어린이집,A,우수,우수,우수,우수,2022-03-01,4575,중구,11140000107,국공립,서울특별시 중구 퇴계로 447,02-2231-7227,37.56604027,127.0217233,일반
서소문삼성어린이집,A,우수,우수,우수,우수,2023-11-01,4523,중구,11140000034,직장,"서울특별시 중구 을지로1가 을지로 19 2,3,5층 서소문삼성어린이집",02-757-5463,37.56629509,126.9799343,일반
서울시청직장어린이집,A,우수,우수,우수,우수,2019-01-01,4515,중구,11140000048,직장,서울특별시 중구 서소문로11길 24 5-1번지 서울시청직장어린이집,02-775-5491,37.56450641,126.9760072,"방과후 통합,야간연장"
신당5동어린이집,B,우수,우수,보통,우수,2022-07-01,4583,중구,11140000021,국공립,서울특별시 중구 퇴계로88가길 8-10,02-2234-2745,37.56299121,127.0207595,야간연장
신당동어린이집,A,우수,우수,우수,우수,2022-08-01,4610,중구,11140000015,국공립,서울특별시 중구 청구로8길 41 (신당동),02-2233-9478,37.56223299,127.0141014,야간연장
신당삼성어린이집,A,우수,우수,우수,우수,2020-01-01,4598,중구,11140000035,민간,서울특별시 중구 동호로15길 21-36,02-2233-6925,37.55576832,127.0092927,일반
신당중앙어린이집,A,우수,우수,우수,우수,2023-02-01,4608,중구,11140000009,법인?단체등,서울특별시 중구 다산로 165 (신당동),02-2234-7589,37.55831345,127.0121588,야간연장
신당하나어린이집,A,우수,우수,우수,우수,2020-02-01,4580,중구,11140000115,국공립,서울특별시 중구 왕십리로 407 신당파인힐하나유보라 103동 1층,02-2256-7646,37.56430066,127.0251501,일반
신일교회어린이집,B,우수,보통,우수,우수,2022-08-01,4590,중구,11140000056,법인?단체등,서울특별시 중구 다산로 128-9,02-2253-1159,37.55500747,127.0115053,야간연장
신한꿈나무어린이집,A,우수,우수,우수,우수,2020-03-01,4542,중구,11140000111,직장,서울특별시 중구 을지로2가 삼일대로 358 신한L타워 3층,02-6250-8091,37.56648856,126.988106,야간연장
아기사랑어린이집,B,우수,보통,우수,우수,2020-02-01,4586,중구,11140000043,국공립,서울특별시 중구 다산로32길 25 (신당동),02-2253-1467,37.56085349,127.0158287,야간연장
아이다움어린이집,A,우수,우수,우수,우수,2020-01-01,4581,중구,11140000116,가정,서울특별시 중구 난계로 130 102동 102호,02-2233-7942,37.5635023,127.0244778,일반
약수교회어린이집,A,우수,우수,우수,우수,2022-06-01,4596,중구,11140000010,법인?단체등,서울특별시 중구 다산로8길 32 (신당동),02-2233-5131,37.55235768,127.011203,야간연장
약수어린이집,A,우수,우수,우수,우수,2023-02-01,4597,중구,11140000019,국공립,서울특별시 중구 다산로6길 15 (신당동),02-2252-7672,37.55230956,127.0092242,"장애아통합,야간연장"
엄마품어린이집,C,개선필요,보통,우수,보통,2022-03-01,4588,중구,11140000082,가정,"서울특별시 중구 청구로1길 23 108동 102호(신당동, 삼성아파트)",02-6365-2004,37.55818528,127.0179656,일반
엔젤어린이집,A,우수,우수,우수,우수,2022-08-01,4502,중구,11140000060,가정,"서울특별시 중구 중림로 10 106동 103호(중림동, 사이버빌리지)",02-364-3642,37.5581639,126.9652466,야간연장
영락교회어린이집,B,우수,우수,보통,우수,2022-06-01,4552,중구,11140000018,법인?단체등,서울특별시 중구 수표로 33 (저동2가),02-2266-5878,37.5632088,126.9891675,야간연장
예금보험공사어린이집,A,우수,우수,우수,우수,2022-03-01,4521,중구,11140000098,직장,서울특별시 중구 청계천로 30 2층,02-318-3701,37.5685389,126.9807486,일반
우리누리 어린이집,B,보통,우수,우수,보통,2023-03-01,4551,중구,11140000066,직장,서울특별시 중구 삼일대로 340 나라키움빌딩 2층 (저동1가),02-2260-0257,37.5652146,126.9879156,일반
우리은행어린이집,A,우수,우수,우수,우수,2020-01-01,4632,중구,11140000106,직장,서울특별시 중구 회현동1가 소공로 51,02-2002-3095,37.55943835,126.981751,일반
을지로 하나금융그룹 직장어린이집,A,우수,우수,우수,우수,2022-04-01,4539,중구,11140000100,직장,서울특별시 중구 을지로2가 을지로 55 하나은행 2층,02-779-6227,37.56640879,126.9840266,야간연장
중구청직장어린이집,A,우수,우수,우수,우수,2023-02-01,4559,중구,11140000007,국공립,서울특별시 중구 마른내로12길 17-19,02-3396-4049,37.56384837,127.0012002,야간연장
중림어린이집,A,우수,우수,우수,우수,2020-01-01,4508,중구,11140000011,국공립,서울특별시 중구 만리재로35길 12 (만리동1가),02-364-7534,37.55562297,126.9677162,"장애아통합,야간연장"
청구어린이집,A,우수,우수,우수,우수,2022-09-01,4592,중구,11140000016,국공립,서울특별시 중구 다산로24길 81 (신당동),02-2236-1466,37.55718798,127.0166839,"장애아통합,야간연장,휴일보육"
충무어린이집,A,우수,우수,우수,우수,2020-01-01,4618,중구,11140000008,국공립,서울특별시 중구 동호로27길 21 (묵정동),02-2264-3679,37.56024397,127.0017202,"장애아통합,야간연장"
키즈숲 어린이집,A,우수,우수,우수,우수,2020-03-01,4595,중구,11140000097,가정,"서울특별시 중구 다산로 32 15동 101호(신당동, 남산타운)",02-2256-0523,37.54712592,127.0055818,일반
키즈일레븐어린이집,A,우수,우수,우수,우수,2021-04-01,4637,중구,11140000117,직장,서울특별시 중구 한강대로 416 2층,02-6456-8560,37.55583997,126.9733362,일반
푸르지오비씨 어린이집,A,우수,우수,우수,우수,2020-09-01,4548,중구,11140000114,직장,서울특별시 중구 을지로4가 을지로 170,02-2288-2761,37.5663283,126.9973768,일반
필동어린이집,A,우수,우수,우수,우수,2022-08-01,4626,중구,11140000012,국공립,서울특별시 중구 퇴계로36가길 60 (필동2가),02-2274-2268,37.5576761,126.9954627,야간연장
한솔어린이집,A,우수,우수,우수,우수,2019-09-01,4595,중구,11140000036,민간,서울특별시 중구 다산로 32 남산타운 단지내  한솔어린이집,02-2256-0330,37.54916083,127.0093802,일반
한화태평로어린이집,A,우수,우수,우수,우수,2022-04-01,4525,중구,11140000101,직장,서울특별시 중구 태평로2가 세종대로 92 4층,02-6366-7120,37.56423454,126.9775709,일반
해피맘어린이집,A,우수,우수,우수,우수,2020-03-01,4572,중구,11140000093,가정,서울특별시 중구 청계천로 400 롯데캐슬베네치아 105동 704호,02-2048-5756,37.57081313,127.0214622,일반
햇살어린이집,A,우수,우수,우수,우수,2022-06-01,4607,중구,11140000084,가정,"서울특별시 중구 동호로14길 11-8 B동 102호(신당동, 뉴타운빌)",02-2236-4558,37.55653529,127.010497,야간연장
황학어린이집,A,우수,우수,우수,우수,2022-08-01,4574,중구,11140000017,국공립,서울특별시 중구 난계로15길 23 (황학동),02-2234-6840,37.56877918,127.0223263,"방과후 통합,야간연장"
회현어린이집,A,우수,우수,우수,우수,2022-09-01,4633,중구,11140000013,국공립,서울특별시 중구 퇴계로12가길 23 (회현동1가),02-757-0896,37.55595582,126.9808257,"장애아통합,방과후 통합,야간연장"
DB손해보험 아이사랑 어린이집,A,우수,우수,우수,우수,2023-09-01,4323,용산구,11170000181,직장,서울특별시 용산구 후암로 107 게이트웨이타워 3층,02-771-8607,37.55346139,126.9735634,일반
IBK 참!좋은 어린이집,A,우수,우수,우수,우수,2019-12-01,4419,용산구,11170000167,직장,서울특별시 용산구 한남대로 72,02-798-3360,37.53506698,127.0070565,일반
고운꿈어린이집,A,우수,우수,우수,우수,2023-01-01,4421,용산구,11170000175,가정,"서울특별시 용산구 이촌로 181 106동 102호(이촌동, 한강대우아파트)",02-797-3797,37.52215363,126.9706619,일반
국립중앙박물관 해누림 어린이집,A,우수,우수,우수,우수,2021-05-01,4383,용산구,11170000207,직장,서울특별시 용산구 서빙고로 137 국립중앙박물관,02-2077-9048,37.52349496,126.9776012,일반
국방부청사어린이집,A,우수,우수,우수,우수,2023-08-01,4383,용산구,11170000128,직장,서울특별시 용산구 이태원로 22 국방부 (용산동3가),02-798-0097,37.53358278,126.9776714,야간연장
꼬마성어린이집,A,우수,우수,우수,우수,2021-07-01,4393,용산구,11170000159,가정,"서울특별시 용산구 장문로6길 76 1단지 1-3 (동빙고동,용산푸르지오파크타운)",02-794-2796,37.52160605,126.9946438,야간연장
꿈꾸는어린이집,A,우수,우수,우수,우수,2021-02-01,4319,용산구,11170000035,가정,"서울특별시 용산구 효창원로69길 57 101동 104호(효창동, 효창베네스빌)",02-719-6545,37.54166978,126.9612742,일반
꿈나무어린이집,A,우수,우수,우수,우수,2022-12-01,4316,용산구,11170000195,국공립,서울특별시 용산구 원효로1가 백범로 329 꿈나무어린이집,02-706-2468,37.53839694,126.9657927,장애아통합
꿈동이어린이집,A,우수,우수,우수,우수,2022-04-01,4423,용산구,11170000054,가정,"서울특별시 용산구 이촌로87길 21 101동 101호(이촌동, 이촌코오롱)",02-795-5475,37.52000465,126.9786745,일반
꿈밭어린이집,B,우수,우수,보통,우수,2022-09-01,4423,용산구,11170000060,민간,서울특별시 용산구 이촌로81길 34 꿈밭어린이집,02-792-8645,37.52000465,126.9786745,일반
남산중앙어린이집,A,우수,우수,우수,우수,2023-07-01,4328,용산구,11170000024,법인?단체등,서울특별시 용산구 두텁바위로60길 74 남산중앙교회내 (후암동),02-754-9919,37.54829648,126.9835883,야간연장
노벨어린이집,A,우수,우수,우수,우수,2021-07-01,4331,용산구,11170000164,가정,서울특별시 용산구 후암로22길 10 104호(후암동),02-796-7270,37.55139781,126.977295,일반
누리터어린이집,A,우수,우수,우수,우수,2023-12-01,4315,용산구,11170000112,가정,"서울특별시 용산구 백범로90길 74 102동 102호(문배동, 용산이안아파트)",02-6401-2379,37.5367195,126.9685765,일반
