핵심지표,세부지표,세부항목,질문,유형
건강 ･안전,하원의 안전,교사는 영유아의 출석을 확인하며 인계규정에 따라 귀가지도를 한다.,영유아의 보호자에게 받은 귀가동의서를 구비하고 있음,객관식
건강 ･안전,하원의 안전,교사는 영유아의 출석을 확인하며 인계규정에 따라 귀가지도를 한다.,교사는 매일 일과를 시작할 때 영유아의 등원 여부를 확인함,객관식
건강 ･안전,하원의 안전,교사는 영유아의 출석을 확인하며 인계규정에 따라 귀가지도를 한다.,영유아의 인계과정이 규정에 따라 안전하게 이루어짐,객관식
건강 ･안전,하원의 안전,영유아는 등원부터 하원까지 성인의 보호 하에 있다.,교사는 영유아의 안전을 위해 항상 전체 상황을 주시함,객관식
건강 ･안전,하원의 안전,영유아는 등원부터 하원까지 성인의 보호 하에 있다.,교사는 일과나 장소가 바뀔 때마다 전체 영유아를 확인함,객관식
건강 ･안전,하원의 안전,영유아는 등원부터 하원까지 성인의 보호 하에 있다.,통합보육 시 통합반 또는 연장보육 전담교사는 담당 영유아의 인원과 특이사항을 파악함,객관식
건강 ･안전,하원의 안전,영유아는 등원부터 하원까지 성인의 보호 하에 있다.,영유아를 두고 자리를 비울 때에는 책임 있는 성인에게 인계함,객관식
건강 ･안전,하원의 안전,등･하원용 차량을 운행할 경우 안전요건을 갖추어 관리한다.,"차량에 안전수칙, 영아용 보호장구, 개별 안전띠, 차량용 소화기, 어린이 하차 확인장치, 비상약품을 구비함",객관식
건강 ･안전,하원의 안전,등･하원용 차량을 운행할 경우 안전요건을 갖추어 관리한다.,운전자는 매일 차량 안전점검을 실시함,객관식
건강 ･안전,하원의 안전,등･하원용 차량을 운행할 경우 안전요건을 갖추어 관리한다.,운전자와 차량에 동승하는 모든 성인은 어린이통학버스 안전교육을 받음,객관식
건강 ･안전,하원의 안전,등･하원용 차량을 운행할 경우 안전요건을 갖추어 관리한다.,운전자와 함께 차량에 동승한 성인은 영유아를 안전하게 보호함,객관식
건강 ･안전,안전교육과 사고예방,영유아를 대상으로 안전교육을 지속적으로 실시하고 있다.,영유아를 대상으로 발달에 적합한 안전교육을 정기적으로 실시함,객관식
건강 ･안전,안전교육과 사고예방,영유아를 대상으로 안전교육을 지속적으로 실시하고 있다.,영유아가 정기 소방대피훈련에 참여함,객관식
건강 ･안전,안전교육과 사고예방,영유아를 대상으로 안전교육을 지속적으로 실시하고 있다.,"영유아가 놀잇감 및 활동자료, 놀이기구를 안전하게 사용하도록 지도함",객관식
건강 ･안전,안전교육과 사고예방,영유아를 대상으로 안전교육을 지속적으로 실시하고 있다.,계절 및 날씨 관련 놀이 안전수칙을 준수함,객관식
건강 ･안전,안전교육과 사고예방,보육교직원은 안전교육을 받고 영유아 학대 예방 지침을 준수한다.,보육교직원을 대상으로 기본적인 안전교육을 정기적으로 실시함(영유아 학대 예방교육 포함),객관식
건강 ･안전,안전교육과 사고예방,보육교직원은 안전교육을 받고 영유아 학대 예방 지침을 준수한다.,"비상시 보육교직원의 대처방안과 업무분장이 체계적으로 수립되어 있고, 보육교직원은 자신의 역할을 숙지하고 있음",객관식
건강 ･안전,안전교육과 사고예방,보육교직원은 안전교육을 받고 영유아 학대 예방 지침을 준수한다.,응급처치(심폐소생술) 관련 교육에 참여한 보육교직원이 있음,객관식
건강 ･안전,안전교육과 사고예방,보육교직원은 안전교육을 받고 영유아 학대 예방 지침을 준수한다.,영유아 학대 예방 지침(체벌 금지 포함)을 준수함,객관식
건강 ･안전,안전교육과 사고예방,안전설비를 비상시 효율적으로 사용할 수 있도록 관리하고 있다.,"비상사태를 대비한 피난설비(비상구, 비상계단 또는 영유아용 미끄럼대, 피난구 유도등 등)를 비상시 원활하게 대피할 수 있도록 관리하고 있음",객관식
건강 ･안전,안전교육과 사고예방,안전설비를 비상시 효율적으로 사용할 수 있도록 관리하고 있다.,비상사태를 대비한 소화설비(소화기 등)를 비상시 제대로 작동되도록 관리하고 있음,객관식
건강 ･안전,안전교육과 사고예방,안전설비를 비상시 효율적으로 사용할 수 있도록 관리하고 있다.,"비상사태를 대비한 경보설비(단독경보형감지기, 가스누설경보기 등)를 비상시 제대로 작동되도록 관리하고 있음",객관식
건강 ･안전,안전교육과 사고예방,안전설비를 비상시 효율적으로 사용할 수 있도록 관리하고 있다.,보육교직원은 안전시설 및 설비(소화기 등)의 사용법을 숙지하고 있음,객관식
교직원,원장의 리더십,원장은 자신의 전문성 향상을 통해 어린이집 발전에 기여한다.,원장은 전문가로서의 전문성 향상을 위해 관련 교육에 참여하고 있음,객관식
교직원,원장의 리더십,원장은 자신의 전문성 향상을 통해 어린이집 발전에 기여한다.,"원장은 어린이집 운영에 대한 철학과 소신을 가지고, 보육의 질을 높이기 위한 다양한 노력을 하고 있음",서술형
교직원,원장의 리더십,원장은 자신의 전문성 향상을 통해 어린이집 발전에 기여한다.,2년 이상 근속한 교사가 전체 교사의 50% 이상임,객관식
교직원,원장의 리더십,원장은 보육교직원을 존중한다.,원장은 보육교직원에게 존중하는 말과 태도를 보임,객관식
교직원,원장의 리더십,원장은 보육교직원을 존중한다.,"원장은 보육교직원에게 의견을 묻거나 제안을 경청하고, 이를 반영함",객관식
교직원,원장의 리더십,원장은 건전한 조직문화 조성을 위해 노력한다.,교사회의를 월 1회 이상 정기적으로 실시하여 민주적으로 운영함,객관식
교직원,원장의 리더십,원장은 건전한 조직문화 조성을 위해 노력한다.,보육교직원의 업무가 효율적으로 분장되어 각자의 업무를 정확히 알고 있음,객관식
교직원,원장의 리더십,원장은 건전한 조직문화 조성을 위해 노력한다.,원장은 보육교직원과 사전에 계획된 일정대로 정기적인 개별면담을 실시함,객관식
교직원,보육교직원의 근무환경,교사를 위한 별도 공간을 마련하고 있다.,"교사실이 별도로 마련되어 있거나, 교사의 휴식을 위한 공간 또는 설비가 마련되어 있음",객관식
