어린이집명,어린이집등급,보육과정 및 상호작용,보육환경 및 운영관리,건강 및 안전,교직원,평가 인증 년월,우편번호,시군구명,어린이집코드,어린이집유형,상세주소,전화번호,시설 위도(좌표값),시설 경도(좌표값),제공서비스,평가 인증 년,평가완료여부,평가예정날짜,평가마감날짜,시
구립 중곡1동 자람터어린이집,A,우수,우수,우수,우수,2021-08-01 0:00:00,4917,광진구,11215000333,국공립,서울특별시 광진구 긴고랑로8길 76,02-469-7942,37.56038686,127.0772926,"장애아통합,야간연장",2021,N,2024. 8. 1,2024. 8. 15,서울특별시
구립 휴먼시아어린이집,A,우수,우수,우수,우수,2021-07-01 0:00:00,4981,광진구,11215000335,국공립,"서울특별시 광진구 천호대로 716 102동 102호(구의동, 휴먼시아아파트)",02-456-9709,37.54827356,127.0935718,일반,2021,N,2024. 7. 1,2024. 7. 15,서울특별시
구립 희망샘어린이집,A,우수,우수,우수,우수,2021-08-01 0:00:00,4944,광진구,11215000326,국공립,서울특별시 광진구 긴고랑로37길 8 (중곡동),02-458-1324,37.55930799,127.0902083,"장애아통합,야간연장",2021,N,2024. 8. 1,2024. 8. 15,서울특별시
다예린어린이집,A,우수,우수,우수,우수,2021-07-01 0:00:00,4967,광진구,11215000217,민간,서울특별시 광진구 광장로 65 (광장동),02-455-2366,37.54753175,127.1043075,일반,2021,N,2024. 7. 1,2024. 7. 15,서울특별시
산위의마을어린이집,A,우수,우수,우수,우수,2021-01-01 0:00:00,4926,광진구,11215000078,민간,서울특별시 광진구 용마산로7길 39 (중곡동),02-457-8953,37.55948,127.08544,일반,2021,Y,2024. 1. 1,2024. 1. 15,서울특별시
서울교통공사대공원어린이집,A,우수,우수,우수,우수,2021-01-01 0:00:00,4998,광진구,11215000143,직장,서울특별시 광진구 능동로 247-1 (군자동),02-6311-7979,37.55230287,127.076253,일반,2021,Y,2024. 1. 1,2024. 1. 15,서울특별시
아이비키즈어린이집,A,우수,우수,우수,우수,2021-07-01 0:00:00,5070,광진구,11215000290,민간,"서울특별시 광진구 뚝섬로35길 14 (자양동, 한라아파트,  상가 B동 101호",02-446-1260,37.53511887,127.070796,일반,2021,N,2024. 7. 1,2024. 7. 15,서울특별시
좋은어린이집,B,우수,우수,보통,우수,2021-08-01 0:00:00,5049,광진구,11215000185,민간,서울특별시 광진구 구의강변로3길 31 (구의동),02-454-8548,37.53620501,127.090321,야간연장,2021,N,2024. 8. 1,2024. 8. 15,서울특별시
SDA꿈사랑어린이집,B,우수,우수,보통,우수,2021-02-01 0:00:00,2436,동대문구,11230000327,가정,"서울특별시 동대문구 망우로 95 102동 101호(휘경동,  롯데아파트)",02-960-5284,37.59105466,127.0637696,야간연장,2021,Y,2024. 2. 1,2024. 2. 15,서울특별시
꼬꼬마어린이집,B,우수,보통,우수,보통,2021-01-01 0:00:00,2624,동대문구,11230000237,가정,서울특별시 동대문구 답십리로68길 52-4,02-2213-2020,37.57036913,127.0684373,일반,2021,Y,2024. 1. 1,2024. 1. 15,서울특별시
꿈둥이어린이집,A,우수,우수,우수,우수,2021-08-01 0:00:00,2638,동대문구,11230000457,가정,"서울특별시 동대문구 장안벚꽃로 107 105동 104호 (장안동, 현대홈타운아파트)",02-3394-8300,37.57072761,127.0762322,일반,2021,N,2024. 8. 1,2024. 8. 15,서울특별시
늘봄어린이집,A,우수,우수,우수,우수,2021-08-01 0:00:00,2437,동대문구,11230000493,민간,서울특별시 동대문구 외대역동로1길 60-3 휘경해모로 관리동,02-3390-3094,37.59111843,127.0624449,일반,2021,N,2024. 8. 1,2024. 8. 15,서울특별시
다사랑어린이집,A,우수,우수,우수,우수,2021-09-01 0:00:00,2638,동대문구,11230000435,가정,"서울특별시 동대문구 장안벚꽃로 107 116-106(장안동, 현대홈타운아파트)",02-3390-5550,37.57105674,127.075113,일반,2021,N,2024. 9. 1,2024. 9. 15,서울특별시
다솔창의어린이집,A,우수,우수,우수,우수,2021-07-01 0:00:00,2428,동대문구,11230000064,민간,서울특별시 동대문구 휘경로 45,02-960-4281,37.59335698,127.0648568,일반,2021,N,2024. 7. 1,2024. 7. 15,서울특별시
리치빅스맘어린이집,B,우수,보통,우수,보통,2021-08-01 0:00:00,2577,동대문구,11230000453,민간,"서울특별시 동대문구 한빛로 73 103동 101 (용두동, 롯데캐슬리치아파트)",02-6406-2722,37.5794163,127.0305168,일반,2021,N,2024. 8. 1,2024. 8. 15,서울특별시
브레인에듀어린이집,B,보통,우수,우수,우수,2021-07-01 0:00:00,2638,동대문구,11230000243,가정,"서울특별시 동대문구 장안벚꽃로 107 116동 103호(장안동, 현대홈타운아파트)",02-2241-7879,37.56966129,127.0746722,야간연장,2021,N,2024. 7. 1,2024. 7. 15,서울특별시
샘터어린이집,A,우수,우수,우수,우수,2021-07-01 0:00:00,2467,동대문구,11230000326,가정,"서울특별시 동대문구 고산자로 534 105동 101호(제기동, 한신아파트)",070-7655-5803,37.58872123,127.0390668,일반,2021,N,2024. 7. 1,2024. 7. 15,서울특별시
아라어린이집,A,우수,우수,우수,우수,2021-07-01 0:00:00,2641,동대문구,11230000458,가정,"서울특별시 동대문구 장한로14길 81 106동 104호 (장안동, 삼성래미안1차아파트)",02-6071-0012,37.56681668,127.0721793,일반,2021,N,2024. 7. 1,2024. 7. 15,서울특별시
아이꿈어린이집,A,우수,우수,우수,우수,2021-08-01 0:00:00,2609,동대문구,11230000096,가정,"서울특별시 동대문구 답십리로 210-30 2동 114호(답십리동, 한신아파트)",02-6495-0058,37.57086836,127.0625253,일반,2021,N,2024. 8. 1,2024. 8. 15,서울특별시
아이사랑어린이집,A,우수,우수,우수,우수,2021-07-01 0:00:00,2553,동대문구,11230000442,가정,"서울특별시 동대문구 사가정로 65 206동 104호 (전농1동, 래미안크레시티)",02-2242-2290,37.57550667,127.0496964,일반,2021,N,2024. 7. 1,2024. 7. 15,서울특별시
아이숲어린이집,A,우수,우수,우수,우수,2021-07-01 0:00:00,2536,동대문구,11230000323,가정,"서울특별시 동대문구 전농로10길 20 101동 102호(답십리동, 청솔우성아파트)",02-2212-0567,37.57443523,127.0584024,일반,2021,N,2024. 7. 1,2024. 7. 15,서울특별시
애플키즈어린이집,A,우수,우수,우수,우수,2021-07-01 0:00:00,2553,동대문구,11230000439,가정,서울특별시 동대문구 사가정로 65 래미안크레시티아파트 110동 101호,02-2246-9936,37.57550667,127.0496964,일반,2021,N,2024. 7. 1,2024. 7. 15,서울특별시
예성어린이집,A,우수,우수,우수,우수,2021-09-01 0:00:00,2553,동대문구,11230000440,가정,"서울특별시 동대문구 사가정로 65 304동 101호 (전농동, 래미안크레시티아파트)",02-6745-8809,37.57550667,127.0496964,야간연장,2021,N,2024. 9. 1,2024. 9. 15,서울특별시
예지슬어린이집,A,우수,우수,우수,우수,2021-08-01 0:00:00,2553,동대문구,11230000459,국공립,"서울특별시 동대문구 사가정로 65 109동 101호(전농동, 래미안크레시티아파트)",02-2246-2226,37.57550667,127.0496964,일반,2021,N,2024. 8. 1,2024. 8. 15,서울특별시
용두희망어린이집,A,우수,우수,우수,우수,2021-07-01 0:00:00,2578,동대문구,11230000049,국공립,서울특별시 동대문구 무학로49길 75 (용두동),02-923-0836,37.57969079,127.0267201,야간연장,2021,N,2024. 7. 1,2024. 7. 15,서울특별시
청량리어린이집,A,우수,우수,우수,우수,2021-07-01 0:00:00,2480,동대문구,11230000250,국공립,서울특별시 동대문구 홍릉로17길 38 (제기동),02-6080-6404,37.58619042,127.040912,야간연장,2021,N,2024. 7. 1,2024. 7. 15,서울특별시
함께행복한어린이집,A,우수,우수,우수,우수,2021-08-01 0:00:00,2575,동대문구,11230000088,가정,"서울특별시 동대문구 왕산로23길 89 103동 105호(제기동, 이수브라운 스톤아파트)",02-925-5123,37.58232117,127.0342104,야간연장,2021,N,2024. 8. 1,2024. 8. 15,서울특별시
호수어린이집,A,우수,우수,우수,우수,2021-08-01 0:00:00,2598,동대문구,11230000461,국공립,"서울특별시 동대문구 답십리로 130 403동 106호(답십리동, 래미안위브)",02-2214-2230,37.57285658,127.0524024,일반,2021,N,2024. 8. 1,2024. 8. 15,서울특별시
금빛어린이집,B,우수,우수,보통,우수,2021-07-01 0:00:00,2250,중랑구,11260000214,민간,서울특별시 중랑구 용마산로53길 26 (면목동),02-433-1212,37.57831598,127.0894343,야간연장,2021,N,2024. 7. 1,2024. 7. 15,서울특별시
꼬마사랑어린이집,A,우수,우수,우수,우수,2021-02-01 0:00:00,2131,중랑구,11260000467,국공립,서울특별시 중랑구 봉우재로6길 9 (면목동),02-432-0097,37.58955609,127.0762882,"야간연장,휴일보육",2021,Y,2024. 2. 1,2024. 2. 15,서울특별시
꼬마친구어린이집,B,우수,우수,우수,보통,2021-07-01 0:00:00,2075,중랑구,11260000413,가정,"서울특별시 중랑구 봉화산로 130 1304-104 (상봉동, 쌍용아파트)",02-3421-6373,37.60510182,127.0902171,일반,2021,N,2024. 7. 1,2024. 7. 15,서울특별시
둘리어린이집,B,우수,우수,보통,우수,2021-03-01 0:00:00,2026,중랑구,11260000034,민간,서울특별시 중랑구 신내로 127 신내아파트관리사무소1층 (신내동),02-3421-9514,37.61197188,127.0961284,일반,2021,N,2024. 3. 1,2024. 3. 15,서울특별시
사가정 아이파크어린이집,B,우수,우수,보통,우수,2021-11-01 0:00:00,2226,중랑구,11260000470,국공립,서울특별시 중랑구 동일로92길 40 (면목동),02-496-8077,37.56647,126.977963,야간연장,2021,N,2024. 11. 1,2024. 11. 15,서울특별시
사랑나무어린이집,A,우수,우수,우수,우수,2021-06-01 0:00:00,2058,중랑구,11260000044,가정,"서울특별시 중랑구 용마산로 616 101동 101호(신내동, 새한아파트)",02-3421-7383,37.60526023,127.1013446,야간연장,2021,N,2024. 6. 1,2024. 6. 15,서울특별시
새우개 하나어린이집,A,우수,우수,우수,우수,2021-08-01 0:00:00,2052,중랑구,11260000468,국공립,서울특별시 중랑구 용마산로139다길 17 (신내동),02-438-1318,37.61885896,127.1024861,"장애아통합,야간연장",2021,N,2024. 8. 1,2024. 8. 15,서울특별시
수자인어린이집,A,우수,우수,우수,우수,2021-01-01 0:00:00,2260,중랑구,11260000465,국공립,서울특별시 중랑구 사가정로72길 26 한양수자인사가정파크 단지내 (면목동),02-432-8366,37.57991627,127.0939193,야간연장,2021,Y,2024. 1. 1,2024. 1. 15,서울특별시
신내데시앙어린이집,B,우수,우수,보통,우수,2021-06-01 0:00:00,2053,중랑구,11260000379,민간,서울특별시 중랑구 용마산로 669 신내데시앙아파트 114동 1층 (신내동),02-3421-0331,37.61320371,127.0994435,일반,2021,N,2024. 6. 1,2024. 6. 15,서울특별시
아이사랑어린이집,A,우수,우수,우수,우수,2021-07-01 0:00:00,2025,중랑구,11260000385,가정,"서울특별시 중랑구 신내로 155 802동 103호(신내동, 화성두산아파트)",02-3423-1239,37.61375788,127.0952074,"일반,시간제보육",2021,N,2024. 7. 1,2024. 7. 15,서울특별시
아이파크어린이집,A,우수,우수,우수,우수,2021-06-01 0:00:00,2007,중랑구,11260000149,민간,"서울특별시 중랑구 중랑천로 286 라동(묵동, 현대아이파크)",02-971-1266,37.61101942,127.0736945,야간연장,2021,N,2024. 6. 1,2024. 6. 15,서울특별시
어울림어린이집,A,우수,우수,우수,우수,2021-07-01 0:00:00,2060,중랑구,11260000441,국공립,서울특별시 중랑구 망우로73길 47 (망우동),02-496-9497,37.60261351,127.1032056,야간연장,2021,N,2024. 7. 1,2024. 7. 15,서울특별시
에코비자연어린이집,A,우수,우수,우수,우수,2021-07-01 0:00:00,2094,중랑구,11260000374,민간,서울특별시 중랑구 동일로126길 49-1 (중화동),02-433-5679,37.59894493,127.0830805,일반,2021,N,2024. 7. 1,2024. 7. 15,서울특별시
열매어린이집,B,우수,우수,우수,우수,2021-02-01 0:00:00,2141,중랑구,11260000068,국공립,서울특별시 중랑구 동일로100길 26 (면목동),02-433-9889,37.58855151,127.0814665,"장애아통합,야간연장",2021,Y,2024. 2. 1,2024. 2. 15,서울특별시
유진어린이집,A,우수,우수,우수,우수,2021-08-01 0:00:00,2003,중랑구,11260000438,국공립,"서울특별시 중랑구 중랑천로 332 102동 106호(묵동, 한국아파트)",02-976-9066,37.61458282,127.0735614,야간연장,2021,N,2024. 8. 1,2024. 8. 15,서울특별시
