어린이집명,어린이집등급,보육과정 및 상호작용,보육환경 및 운영관리,건강 및 안전,교직원,평가 인증 년월,우편번호,시군구명,어린이집코드,어린이집유형,상세주소,전화번호,시설 위도(좌표값),시설 경도(좌표값),제공서비스
조은어린이집,A,우수,우수,우수,우수,2020-01-01,3109,종로구,11110000018,국공립,서울특별시 종로구 지봉로12가길 35 (숭인동),02-763-7800,37.57564181,127.0169677,"장애아통합,야간연장"
종교교회어린이집,A,우수,우수,우수,우수,2022-01-01,3173,종로구,11110000058,민간,서울특별시 종로구 사직로8길 48 종교교회내 1층 (도렴동),02-6322-2190,37.57375117,126.973844,야간연장
종로구청직장어린이집,A,우수,우수,우수,우수,2022-05-01,3152,종로구,11110000039,직장,서울특별시 종로구 종로1길 36 대림빌딩,02-720-5852,37.5734646273137,126.97914844618096,야간연장
종로생명숲어린이집,A,우수,우수,우수,우수,2021-09-01,3009,종로구,11110000155,국공립,서울특별시 종로구 평창문화로 73-7 종로생명숲어린이집,02-359-1671,37.60646733045679,126.96817657791692,야간연장
창경어린이집,A,우수,우수,우수,우수,2022-04-01,3073,종로구,11110000159,국공립,서울특별시 종로구 성균관로1길 6-3,02-766-1514,37.58343865092836,126.99778097189912,야간연장
창신어린이집,A,우수,우수,우수,우수,2020-01-01,3105,종로구,11110000012,사회복지법인,서울특별시 종로구 창신5길 22 (창신동),02-743-6302,37.57360468,127.0120168,야간연장
창신제일어린이집,B,보통,우수,우수,우수,2022-04-01,3089,종로구,11110000048,국공립,서울특별시 종로구 낙산성곽동길 69 창신동,02-3675-1084,37.57568463,127.0096935,"야간연장,휴일보육"
천사어린이집,A,우수,우수,우수,우수,2023-08-01,3092,종로구,11110000169,국공립,서울특별시 종로구 낙산길 198 205-101,02-3674-1004,37.5804180113,127.0111852611,야간연장
청운어린이집,B,우수,보통,우수,우수,2022-06-01,3031,종로구,11110000035,국공립,서울특별시 종로구 자하문로35길 21,02-730-9261,37.58408282,126.9705784,야간연장
청정원 종로 어린이집,A,우수,우수,우수,우수,2023-02-01,3130,종로구,11110000181,직장,서울특별시 종로구 창경궁로 120 종로플레이스 2층,02-2231-1896,37.572961897751824,126.9981888022783,일반
초동어린이집,A,우수,우수,우수,우수,2023-12-01,3139,종로구,11110000041,법인?단체등,서울특별시 종로구 돈화문로5가길 23 (돈의동),02-765-6205,37.57174148,126.9912585,장애아통합
한빛어린이집,A,우수,우수,우수,우수,2022-01-01,3112,종로구,11110000016,국공립,서울특별시 종로구 종로65길 10 (숭인동),02-763-6825,37.57485743,127.0199441,야간연장
한숲어린이집,A,우수,우수,우수,우수,2023-02-01,3181,종로구,11110000168,직장,서울특별시 종로구 통일로 134 디타워 돈의문 2층,02-735-1712,37.56686634451361,126.96620127757718,일반
현대다솜어린이집,A,우수,우수,우수,우수,2022-09-01,3058,종로구,11110000153,직장,서울특별시 종로구 창덕궁길 19 현대다솜어린이집,02-746-7601,37.57823397808198,126.98856600832882,일반
현대해상 온마음어린이집,A,우수,우수,우수,우수,2023-07-01,3176,종로구,11110000158,직장,서울특별시 종로구 신문로2가 경희궁1길 9,02-725-5355,37.57113113364561,126.97100796248088,일반
혜화어린이집,A,우수,우수,우수,우수,2023-03-01,3084,종로구,11110000033,국공립,서울특별시 종로구 대학로14길 34,02-742-2694,37.58477571854032,127.0025360774734,야간연장
CJ키즈빌 어린이집,A,우수,우수,우수,우수,2023-08-01,4560,중구,11140000085,직장,서울특별시 중구 동호로 330 (쌍림동),02-722-1070,37.56396399,127.0032756,일반
GKL행복어린이집,A,우수,우수,우수,우수,2019-01-01,4637,중구,11140000104,직장,서울특별시 중구 남대문로5가 한강대로 416 서울스퀘어 5층,02-6456-8816,37.5555048939659,126.97375281464888,일반
IBK 참! 좋은 어린이집,A,우수,우수,우수,우수,2019-01-01,4538,중구,11140000108,직장,서울특별시 중구 을지로2가 을지로 82,02-2031-3394,37.5657063891,126.9870828853,일반
LG서울역어린이집,A,우수,우수,우수,우수,2020-02-01,4637,중구,11140000109,직장,서울특별시 중구 남대문로5가 후암로 98 2층,02-3789-1002,37.55395945981493,126.9747967942587,일반
SKT행복날개어린이집,A,우수,우수,우수,우수,2021-07-01,4539,중구,11140000057,직장,서울특별시 중구 을지로2가 을지로 65 SK-T타워 3층,02-6100-0115,37.56647,126.9851118,일반
SK브로드밴드 행복한 어린이집,A,우수,우수,우수,우수,2021-07-01,4637,중구,11140000099,직장,서울특별시 중구 남대문로5가 퇴계로 24 SK남산그린빌딩 4층,02-6266-2300,37.55661899726137,126.97596160238535,야간연장
가명어린이집,A,우수,우수,우수,우수,2020-01-01,4506,중구,11140000014,법인?단체등,서울특별시 중구 청파로 447-1,02-365-7021,37.5589741,126.9670146,장애아통합
경동어린이집,A,우수,우수,우수,우수,2022-01-01,4614,중구,11140000053,법인?단체등,서울특별시 중구 장충단로 204,02-2272-7158,37.56319426,127.0073109,일반
교원&하나투어 공동직장어린이집,B,우수,우수,보통,보통,2020-09-01,4539,중구,11140000113,직장,서울특별시 중구 을지로2가 을지로 55 교원명동빌딩 3층,02-779-6118,37.56647,126.977963,일반
꿈나무어린이집,A,우수,우수,우수,우수,2020-03-01,4572,중구,11140000092,가정,서울특별시 중구 청계천로 400 101동 709호,02-2231-3132,37.57086989892385,127.02005845359363,일반
남산숲어린이집,A,우수,우수,우수,우수,2022-08-01,4595,중구,11140000023,국공립,서울특별시 중구 동호로5길 193 남산숲어린이집 (신당동),02-2234-2753,37.54652787,127.0089375,"야간연장,휴일보육"
남산타운어린이집,D,우수,우수,우수,우수,2022-12-01,4595,중구,11140000079,국공립,서울특별시 중구 다산로 32 (신당동),02-2256-5114,37.54953333,127.0118978,야간연장
농협중앙회 별관 어린이집,A,우수,우수,우수,우수,2023-02-01,4516,중구,11140000118,직장,서울특별시 중구 새문안로 16 농협중앙회 별관 2층,02-2080-8135,37.56631941482,126.96772109776006,일반
농협중앙회어린이집,A,우수,우수,우수,우수,2021-08-01,4516,중구,11140000087,직장,서울특별시 중구 새문안로 16,02-2080-4941,37.5664636169861,126.967736925035,일반
늘푸른어린이집,A,우수,우수,우수,우수,2023-08-01,4500,중구,11140000110,국공립,서울특별시 중구 만리동2가 만리재로21길 9,02-2088-1318,37.5528170627,126.9630705681,일반
다산어린이집,B,우수,우수,우수,우수,2022-12-01,4604,중구,11140000005,국공립,서울특별시 중구 동호로15길 50 (신당동),02-2232-6905,37.55432868,127.0082457,"장애아통합,방과후 통합,야간연장"
다솜어린이집,A,우수,우수,우수,우수,2021-08-01,4593,중구,11140000028,국공립,"서울특별시 중구 동호로10길 30 103동 101호(신당동, 약수하이츠)",02-2236-9121,37.55472522,127.0146044,일반
단우물 어린이집,A,우수,우수,우수,우수,2022-07-01,4576,중구,11140000006,국공립,서울특별시 중구 다산로48길 33 단우물어린이집(황학동),02-2234-9125,37.56751684,127.0181216,"야간연장,휴일보육"
동화나라어린이집,A,우수,우수,우수,우수,2022-01-01,4584,중구,11140000025,국공립,서울특별시 중구 다산로38길 80 (신당동),02-2236-5156,37.56154523,127.0192628,"장애아통합,야간연장"
동화어린이집,A,우수,우수,우수,우수,2019-12-01,4587,중구,11140000091,국공립,서울특별시 중구 청구로 64 청구e편한세상아파트 106동 1층,02-2234-1226,37.56000212173593,127.0155196287449,야간연장
롯데mom편한어린이집,A,우수,우수,우수,우수,2023-12-01,4632,중구,11140000105,직장,"서울특별시 중구 회현동1가 소공로 35 남산롯데캐슬아이리스 210호, 211호",02-774-4498,37.55822380859089,126.9817467235163,일반
롯데캐슬어린이집,A,우수,우수,우수,우수,2023-01-01,4572,중구,11140000065,국공립,서울특별시 중구 청계천로 400 롯데캐슬베네치아아파트 103동7층관리동 (황학동),02-2048-5757,37.57089532,127.0213261,일반
리틀포도나무어린이집,A,우수,우수,우수,우수,2020-02-01,4582,중구,11140000086,민간,서울특별시 중구 퇴계로90길 74 래미안하이베르아파트 관리동1층,02-2233-3515,37.5616162065133,127.022623804695,일반
마주어린이집,C,보통,우수,보통,개선필요,2023-04-01,4502,중구,11140000090,가정,서울특별시 중구 중림로 10 삼성사이버빌리지 112-102,02-6324-6325,37.557582837103226,126.96560417782273,야간연장
만리어린이집,A,우수,우수,우수,우수,2022-06-01,4500,중구,11140000020,국공립,서울특별시 중구 만리동2가 만리재로 175 (만리동2가),02-312-8718,37.5530803784,126.9637947247,야간연장
명동하나금융그룹직장어린이집,A,우수,우수,우수,우수,2020-02-01,4538,중구,11140000112,직장,서울특별시 중구 을지로2가 을지로 66 하나금융그룹 명동사옥 2층,02-319-9606,37.56555479225988,126.98513267110089,일반
무지개어린이집,A,우수,우수,우수,우수,2022-09-01,4588,중구,11140000094,가정,"서울특별시 중구 청구로1길 23 113동 103호(신당동,신당삼성아파트)",02-2252-4777,37.558563761085765,127.01843027609456,야간연장
미담어린이집,A,우수,우수,우수,우수,2022-03-01,4575,중구,11140000107,국공립,서울특별시 중구 퇴계로 447,02-2231-7227,37.5660402677,127.0217233062,일반
서소문삼성어린이집,A,우수,우수,우수,우수,2023-11-01,4523,중구,11140000034,직장,"서울특별시 중구 을지로1가 을지로 19 2,3,5층 서소문삼성어린이집",02-757-5463,37.566295092422,126.97993428392319,일반
서울시청직장어린이집,A,우수,우수,우수,우수,2019-01-01,4515,중구,11140000048,직장,서울특별시 중구 서소문로11길 24 5-1번지 서울시청직장어린이집,02-775-5491,37.56450641,126.9760072,"방과후 통합,야간연장"
신당5동어린이집,B,우수,우수,보통,우수,2022-07-01,4583,중구,11140000021,국공립,서울특별시 중구 퇴계로88가길 8-10,02-2234-2745,37.56299121,127.0207595,야간연장
신당동어린이집,A,우수,우수,우수,우수,2022-08-01,4610,중구,11140000015,국공립,서울특별시 중구 청구로8길 41 (신당동),02-2233-9478,37.56223299,127.0141014,야간연장
신당삼성어린이집,A,우수,우수,우수,우수,2020-01-01,4598,중구,11140000035,민간,서울특별시 중구 동호로15길 21-36,02-2233-6925,37.55576832,127.0092927,일반
신당중앙어린이집,A,우수,우수,우수,우수,2023-02-01,4608,중구,11140000009,법인?단체등,서울특별시 중구 다산로 165 (신당동),02-2234-7589,37.55831345,127.0121588,야간연장
신당하나어린이집,A,우수,우수,우수,우수,2020-02-01,4580,중구,11140000115,국공립,서울특별시 중구 왕십리로 407 신당파인힐하나유보라 103동 1층,02-2256-7646,37.56430066488869,127.02515009579788,일반
신일교회어린이집,B,우수,보통,우수,우수,2022-08-01,4590,중구,11140000056,법인?단체등,서울특별시 중구 다산로 128-9,02-2253-1159,37.55500747,127.0115053,야간연장
신한꿈나무어린이집,A,우수,우수,우수,우수,2020-03-01,4542,중구,11140000111,직장,서울특별시 중구 을지로2가 삼일대로 358 신한L타워 3층,02-6250-8091,37.5664885611,126.9881059884,야간연장
아기사랑어린이집,B,우수,보통,우수,우수,2020-02-01,4586,중구,11140000043,국공립,서울특별시 중구 다산로32길 25 (신당동),02-2253-1467,37.56085349,127.0158287,야간연장
아이다움어린이집,A,우수,우수,우수,우수,2020-01-01,4581,중구,11140000116,가정,서울특별시 중구 난계로 130 102동 102호,02-2233-7942,37.56350229819328,127.02447778826442,일반
약수교회어린이집,A,우수,우수,우수,우수,2022-06-01,4596,중구,11140000010,법인?단체등,서울특별시 중구 다산로8길 32 (신당동),02-2233-5131,37.55235768,127.011203,야간연장
약수어린이집,A,우수,우수,우수,우수,2023-02-01,4597,중구,11140000019,국공립,서울특별시 중구 다산로6길 15 (신당동),02-2252-7672,37.55230956,127.0092242,"장애아통합,야간연장"
엄마품어린이집,C,개선필요,보통,우수,보통,2022-03-01,4588,중구,11140000082,가정,"서울특별시 중구 청구로1길 23 108동 102호(신당동, 삼성아파트)",02-6365-2004,37.55818528,127.0179656,일반
엔젤어린이집,A,우수,우수,우수,우수,2022-08-01,4502,중구,11140000060,가정,"서울특별시 중구 중림로 10 106동 103호(중림동, 사이버빌리지)",02-364-3642,37.5581639,126.9652466,야간연장
영락교회어린이집,B,우수,우수,보통,우수,2022-06-01,4552,중구,11140000018,법인?단체등,서울특별시 중구 수표로 33 (저동2가),02-2266-5878,37.5632088,126.9891675,야간연장
예금보험공사어린이집,A,우수,우수,우수,우수,2022-03-01,4521,중구,11140000098,직장,서울특별시 중구 청계천로 30 2층,02-318-3701,37.568538896462414,126.98074856812958,일반
우리누리 어린이집,B,보통,우수,우수,보통,2023-03-01,4551,중구,11140000066,직장,서울특별시 중구 삼일대로 340 나라키움빌딩 2층 (저동1가),02-2260-0257,37.5652146,126.9879156,일반
우리은행어린이집,A,우수,우수,우수,우수,2020-01-01,4632,중구,11140000106,직장,서울특별시 중구 회현동1가 소공로 51,02-2002-3095,37.559438353357024,126.98175095441134,일반
을지로 하나금융그룹 직장어린이집,A,우수,우수,우수,우수,2022-04-01,4539,중구,11140000100,직장,서울특별시 중구 을지로2가 을지로 55 하나은행 2층,02-779-6227,37.56640879202888,126.98402663566662,야간연장
중구청직장어린이집,A,우수,우수,우수,우수,2023-02-01,4559,중구,11140000007,국공립,서울특별시 중구 마른내로12길 17-19,02-3396-4049,37.56384837392489,127.00120016320808,야간연장
중림어린이집,A,우수,우수,우수,우수,2020-01-01,4508,중구,11140000011,국공립,서울특별시 중구 만리재로35길 12 (만리동1가),02-364-7534,37.55562297,126.9677162,"장애아통합,야간연장"
청구어린이집,A,우수,우수,우수,우수,2022-09-01,4592,중구,11140000016,국공립,서울특별시 중구 다산로24길 81 (신당동),02-2236-1466,37.55718798,127.0166839,"장애아통합,야간연장,휴일보육"
충무어린이집,A,우수,우수,우수,우수,2020-01-01,4618,중구,11140000008,국공립,서울특별시 중구 동호로27길 21 (묵정동),02-2264-3679,37.56024397,127.0017202,"장애아통합,야간연장"
키즈숲 어린이집,A,우수,우수,우수,우수,2020-03-01,4595,중구,11140000097,가정,"서울특별시 중구 다산로 32 15동 101호(신당동, 남산타운)",02-2256-0523,37.54712592365811,127.00558178427904,일반
키즈일레븐어린이집,A,우수,우수,우수,우수,2021-04-01,4637,중구,11140000117,직장,서울특별시 중구 한강대로 416 2층,02-6456-8560,37.55583997172427,126.9733362169908,일반
푸르지오비씨 어린이집,A,우수,우수,우수,우수,2020-09-01,4548,중구,11140000114,직장,서울특별시 중구 을지로4가 을지로 170,02-2288-2761,37.56632830333276,126.99737682595428,일반
필동어린이집,A,우수,우수,우수,우수,2022-08-01,4626,중구,11140000012,국공립,서울특별시 중구 퇴계로36가길 60 (필동2가),02-2274-2268,37.5576761,126.9954627,야간연장
한솔어린이집,A,우수,우수,우수,우수,2019-09-01,4595,중구,11140000036,민간,서울특별시 중구 다산로 32 남산타운 단지내  한솔어린이집,02-2256-0330,37.54916083,127.0093802,일반
한화태평로어린이집,A,우수,우수,우수,우수,2022-04-01,4525,중구,11140000101,직장,서울특별시 중구 태평로2가 세종대로 92 4층,02-6366-7120,37.56423453944913,126.97757093345318,일반
해피맘어린이집,A,우수,우수,우수,우수,2020-03-01,4572,중구,11140000093,가정,서울특별시 중구 청계천로 400 롯데캐슬베네치아 105동 704호,02-2048-5756,37.570813133291054,127.02146216177962,일반
햇살어린이집,A,우수,우수,우수,우수,2022-06-01,4607,중구,11140000084,가정,"서울특별시 중구 동호로14길 11-8 B동 102호(신당동, 뉴타운빌)",02-2236-4558,37.55653529,127.010497,야간연장
황학어린이집,A,우수,우수,우수,우수,2022-08-01,4574,중구,11140000017,국공립,서울특별시 중구 난계로15길 23 (황학동),02-2234-6840,37.5687791824,127.0223262912,"방과후 통합,야간연장"
회현어린이집,A,우수,우수,우수,우수,2022-09-01,4633,중구,11140000013,국공립,서울특별시 중구 퇴계로12가길 23 (회현동1가),02-757-0896,37.55595582,126.9808257,"장애아통합,방과후 통합,야간연장"
DB손해보험 아이사랑 어린이집,A,우수,우수,우수,우수,2023-09-01,4323,용산구,11170000181,직장,서울특별시 용산구 후암로 107 게이트웨이타워 3층,02-771-8607,37.55346138877104,126.9735634051436,일반
IBK 참!좋은 어린이집,A,우수,우수,우수,우수,2019-12-01,4419,용산구,11170000167,직장,서울특별시 용산구 한남대로 72,02-798-3360,37.5350669793229,127.007056496912,일반
고운꿈어린이집,A,우수,우수,우수,우수,2023-01-01,4421,용산구,11170000175,가정,"서울특별시 용산구 이촌로 181 106동 102호(이촌동, 한강대우아파트)",02-797-3797,37.5221536300623,126.97066188802754,일반
국립중앙박물관 해누림 어린이집,A,우수,우수,우수,우수,2021-05-01,4383,용산구,11170000207,직장,서울특별시 용산구 서빙고로 137 국립중앙박물관,02-2077-9048,37.5234949563665,126.97760123514485,일반
국방부청사어린이집,A,우수,우수,우수,우수,2023-08-01,4383,용산구,11170000128,직장,서울특별시 용산구 이태원로 22 국방부 (용산동3가),02-798-0097,37.53358278,126.9776714,야간연장
꼬마성어린이집,A,우수,우수,우수,우수,2021-07-01,4393,용산구,11170000159,가정,"서울특별시 용산구 장문로6길 76 1단지 1-3 (동빙고동,용산푸르지오파크타운)",02-794-2796,37.52160605106492,126.99464383133594,야간연장
꿈꾸는어린이집,A,우수,우수,우수,우수,2021-02-01,4319,용산구,11170000035,가정,"서울특별시 용산구 효창원로69길 57 101동 104호(효창동, 효창베네스빌)",02-719-6545,37.54166978,126.9612742,일반
꿈나무어린이집,A,우수,우수,우수,우수,2022-12-01,4316,용산구,11170000195,국공립,서울특별시 용산구 원효로1가 백범로 329 꿈나무어린이집,02-706-2468,37.53839694143437,126.96579265701348,장애아통합
꿈동이어린이집,A,우수,우수,우수,우수,2022-04-01,4423,용산구,11170000054,가정,"서울특별시 용산구 이촌로87길 21 101동 101호(이촌동, 이촌코오롱)",02-795-5475,37.52000465,126.9786745,일반
꿈밭어린이집,B,우수,우수,보통,우수,2022-09-01,4423,용산구,11170000060,민간,서울특별시 용산구 이촌로81길 34 꿈밭어린이집,02-792-8645,37.52000465,126.9786745,일반
남산중앙어린이집,A,우수,우수,우수,우수,2023-07-01,4328,용산구,11170000024,법인?단체등,서울특별시 용산구 두텁바위로60길 74 남산중앙교회내 (후암동),02-754-9919,37.54829648,126.9835883,야간연장
